id;x;y;cat
0;9.32;7.1;1
1;6.93;6.09;1
2;7.06;8.36;1
3;7.78;7.18;1
4;8.36;9.2;1
5;6.8;9.46;1
6;9.31;8.25;1
7;8.51;6.08;1
8;5.91;7.33;1
9;5.73;8.46;1
10;5.52;6.21;1
11;9.58;9.53;1
12;2.22;8.13;1
13;2.82;6.95;1
14;1.93;6.37;1
15;3.37;3.92;1
16;2.61;4.59;1
17;2.71;2.66;1
18;2.38;1.45;1
19;3.67;2.21;1
20;1.59;3;1
21;1.7;0.44;1
22;0.67;2.48;1
23;7.35;3.1;1
24;7.91;3.96;1
25;9.05;4.18;1
26;5.73;3.26;1
27;7.33;1.43;1
28;5.83;1.32;1
29;8.54;2.16;1
30;8.41;1.13;1
31;5.68;4.36;1
32;5.47;6.07;1
33;7.86;8.25;1
34;9.47;8.35;1
35;7.01;6.35;1
36;6.11;6.92;1
37;8.51;9.51;1
38;8.28;7.3;1
39;2.29;8.43;1
40;4.22;8.16;1
41;4.22;9.58;1
42;3.14;6.55;1
43;0.71;7.13;1
44;2.9;9.47;1
45;0.48;8.93;1
46;3.63;5.59;1
47;2.44;5.73;1
48;1.55;6.27;1
49;0.48;6.14;1
50;3.87;1.05;1
51;2.2;2.74;1
52;1.71;1.6;1
53;2.54;0.95;1
54;2.84;4.25;1
55;4.53;2.77;1
56;6.97;1.58;1
57;8.73;1.16;1
58;6.2;4.25;1
59;7.86;2.96;1
60;9.46;4.23;1
61;6.15;0.59;1
62;9.13;2.65;1
63;7.23;0.57;1
64;8.78;7.33;1
65;6.96;8.8;1
66;6.05;6.99;1
67;8.56;9.37;1
68;7.32;6.48;1
69;6.15;8;1
70;8.83;5.5;1
71;2.21;7.27;1
72;1.95;8.71;1
73;3.96;6.76;1
74;0.43;5.67;1
75;4.01;8.26;1
76;4.24;5.59;1
77;0.88;8.38;1
78;0.76;7.01;1
79;4.18;9.41;1
80;3.28;5.94;1
81;3.05;8.79;1
82;1.44;2.91;1
83;2.1;4.31;1
84;3.31;1.38;1
85;2.22;1.38;1
86;0.99;3.91;1
87;3.38;3.23;1
88;6.32;3.35;1
89;8.41;2.72;1
90;8.28;1.12;1
91;8.04;3.96;1
92;6.34;1.15;1
93;9.4;3.68;1
94;7.21;2.66;1
95;9.55;0.47;1
96;6.33;9.48;1
97;7.63;6;1
98;8.82;6.89;1
99;7.09;8.6;1
100;9.29;7.79;1
101;6.59;5.56;1
102;5.42;8.55;1
103;8.24;8.1;1
104;5.73;6.83;1
105;7.17;7.53;1
106;8.86;5.78;1
107;1.98;6.59;1
108;3.74;6.87;1
109;0.64;7.11;1
110;3.26;5.88;1
111;3.96;8.78;1
112;2.08;7.8;1
113;4.42;3.4;1
114;1.76;2.19;1
115;0.43;4.51;1
116;0.56;2.3;1
117;1.28;0.59;1
118;2;3.82;1
119;2.36;0.7;1
120;3.5;0.77;1
121;5.89;1.07;1
122;8.62;2.83;1
123;7.5;2.22;1
124;9.33;1.73;1
125;8.8;4.03;1
126;6.32;3.87;1
127;9.19;0.46;1
128;7.63;5.83;1
129;8.31;8.82;1
130;5.6;5.67;1
131;9.13;7.55;1
132;9.25;5.44;1
133;7.1;7.54;1
134;5.65;8.9;1
135;6.59;6.42;1
136;2.88;7.58;1
137;1.33;6.52;1
138;1.69;9.38;1
139;3.11;6.39;1
140;4.44;6.15;1
141;4.01;8.47;1
142;1.89;7.93;1
143;2.88;8.85;1
144;4.53;9.53;1
145;0.64;9.47;1
146;1;8.45;1
147;0.59;3.61;1
148;0.51;2.3;1
149;2.69;3.84;1
150;2.5;1.99;1
151;1.81;0.86;1
152;4.03;4.21;1
153;7.13;1.07;1
154;9.01;2.45;1
155;6.21;4.41;1
156;7.2;3.57;1
157;9.23;4.52;1
158;6.83;2.42;1
159;5.59;2.59;1
